NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Altamura - Via Santeramo;24/12/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;25/12/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;26/12/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;27/12/2023;Bari;Altamura;PM10;23;7
Altamura - Via Santeramo;28/12/2023;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;29/12/2023;Bari;Altamura;PM10;26;7
Altamura - Via Santeramo;30/12/2023;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;31/12/2023;Bari;Altamura;PM10;30;7
Altamura - Via Santeramo;01/01/2024;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;02/01/2024;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;03/01/2024;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;04/01/2024;Bari;Altamura;PM10;16;7
